rank,expert,slot,mean_combine_weight,mean_routing_logit
196,22,3,4.128549e-04,-2.649185e-01
197,29,4,4.009489e-04,-1.215075e-01
198,8,9,3.892958e-04,-1.285371e+00
199,23,0,3.882246e-04,-1.510767e+00
200,10,7,3.797607e-04,-1.165458e-01
201,4,2,3.675411e-04,-1.507227e+00
202,21,3,3.663353e-04,-3.592135e-01
203,1,5,3.625631e-04,3.524188e-01
204,13,0,3.592966e-04,-1.432271e+00
205,18,8,3.555370e-04,-7.262774e-01
206,11,1,3.544245e-04,-2.135610e+00
207,9,3,3.518856e-04,-3.889185e-01
208,5,3,3.508151e-04,-1.749382e-01
209,8,2,3.489148e-04,-7.192551e-01
210,14,7,3.417438e-04,1.156277e-01
211,10,5,3.393728e-04,4.978093e-01
212,25,5,3.371366e-04,-7.198785e-01
213,26,8,3.356973e-04,-1.202618e-02
214,18,3,3.291516e-04,-1.293422e-01
215,16,3,3.255363e-04,-4.120125e-01
216,22,5,3.217202e-04,-7.386093e-01
217,18,1,3.089600e-04,-6.413376e-01
218,1,8,3.064772e-04,-2.024957e+00
219,4,8,3.014944e-04,-4.196367e-01
220,29,1,2.993067e-04,-8.489525e-01
221,18,4,2.973573e-04,-4.430007e-01
222,18,7,2.940922e-04,8.203850e-01
223,3,5,2.896437e-04,-6.236002e-01
224,6,7,2.880475e-04,-8.819263e-01
225,15,4,2.852801e-04,-2.187647e-01
226,9,0,2.627783e-04,-1.173459e+00
227,24,0,2.608499e-04,-4.473659e-02
228,5,6,2.590278e-04,-1.737746e+00
229,20,4,2.559019e-04,-1.501213e+00
230,7,6,2.547477e-04,1.867325e-02
231,0,0,2.535658e-04,-1.894585e-01
232,17,9,2.506034e-04,2.817217e-01
233,26,9,2.500236e-04,-3.245309e-01
234,17,2,2.423906e-04,-1.194331e+00
235,22,0,2.415149e-04,-6.075678e-01
236,4,0,2.364362e-04,-1.306201e+00
237,28,2,2.346423e-04,-2.025034e+00
238,1,3,2.295722e-04,-1.079089e-01
239,20,5,2.235901e-04,-2.136591e-02
240,23,5,2.221734e-04,-7.290255e-01
241,7,7,2.209677e-04,-1.610943e+00
242,3,8,2.209155e-04,-9.936512e-02
243,8,5,2.187914e-04,-6.240807e-01
244,4,4,2.166308e-04,-1.738825e+00
245,9,7,2.124120e-04,-1.078638e+00
246,21,7,2.113296e-04,-1.657529e+00
247,6,6,2.095972e-04,-9.240277e-01
248,11,3,2.083040e-04,-6.571277e-01
249,2,1,2.063352e-04,5.020837e-01
250,3,6,2.062386e-04,-1.524213e+00
251,26,1,2.010626e-04,1.832677e-02
252,10,9,1.996704e-04,-8.910615e-01
253,2,2,1.963907e-04,-1.199486e+00
254,29,0,1.903471e-04,-3.774241e-01
255,9,8,1.893821e-04,-5.864246e-01
256,15,1,1.889242e-04,-1.004883e+00
257,20,6,1.847408e-04,-1.590297e+00
258,0,5,1.830757e-04,-3.056947e-01
259,12,6,1.774980e-04,-3.126953e-01
260,25,4,1.751124e-04,-1.226386e+00
261,25,3,1.738191e-04,-4.474108e-01
262,2,4,1.710079e-04,-4.575952e-01
263,24,8,1.699798e-04,-9.357996e-01
264,16,5,1.681593e-04,-1.549391e+00
265,11,5,1.666454e-04,-1.657684e+00
266,0,8,1.625333e-04,3.274115e-01
267,2,3,1.562343e-04,-3.711421e-01
268,27,8,1.505338e-04,-1.985259e+00
269,7,3,1.444749e-04,-1.970161e+00
270,11,7,1.313722e-04,-1.321341e+00
271,18,0,1.313213e-04,-5.269074e-01
272,23,3,1.299044e-04,-1.180132e+00
273,8,3,1.259349e-04,-1.439104e+00
274,3,0,1.252518e-04,-1.690398e+00
275,19,8,1.218255e-04,-2.377975e-01
276,13,8,1.211972e-04,-1.481067e+00
277,19,7,1.184437e-04,-9.656230e-01
278,22,7,1.172814e-04,-7.193635e-01
279,24,6,1.098997e-04,-1.052237e+00
280,0,2,1.063440e-04,-2.021381e+00
281,24,4,1.049548e-04,-5.294359e-01
282,20,8,1.022700e-04,-1.076665e+00
283,17,7,1.020382e-04,-1.098545e+00
284,6,3,9.918913e-05,-1.234262e+00
285,1,6,9.756942e-05,-8.327515e-01
286,22,8,8.808377e-05,-8.200101e-01
287,23,6,8.641376e-05,-1.168931e+00
288,20,1,7.797423e-05,-2.237936e+00
289,4,6,7.662561e-05,-6.671752e-01
290,0,9,7.374506e-05,-9.739703e-01
291,7,1,6.589046e-05,-2.080544e+00
292,12,4,5.767371e-05,-1.878707e+00
293,1,9,5.644978e-05,-1.888138e+00
294,24,3,5.264708e-05,-3.033046e-01
295,25,6,4.938039e-05,-1.388896e+00
296,6,8,4.369232e-05,-1.194888e+00
297,8,6,4.328222e-05,-1.998106e+00
298,28,1,3.490365e-05,-2.317818e+00
299,11,6,2.075014e-05,-1.675833e+00
