slide_id,n_regiones,level0_w,level0_h,regiones_json
136370,2,52687,85760,"[{""i"":0,""x"":0,""y"":48640,""w"":38400,""h"":37120},{""i"":1,""x"":1280,""y"":0,""w"":43520,""h"":34560}]"
136767,3,47956,99840,"[{""i"":0,""x"":0,""y"":32000,""w"":28160,""h"":28160},{""i"":1,""x"":1280,""y"":0,""w"":29440,""h"":25600},{""i"":2,""x"":28160,""y"":94720,""w"":3840,""h"":5120}]"
136809-1,2,48097,58880,"[{""i"":0,""x"":0,""y"":0,""w"":33280,""h"":29440},{""i"":1,""x"":0,""y"":32000,""w"":33280,""h"":26880}]"
136815,2,52652,74240,"[{""i"":0,""x"":0,""y"":48640,""w"":48640,""h"":25600},{""i"":1,""x"":1280,""y"":0,""w"":43520,""h"":24320}]"
137538,2,52087,76800,"[{""i"":0,""x"":0,""y"":0,""w"":39680,""h"":30720},{""i"":1,""x"":1280,""y"":44800,""w"":40960,""h"":32000}]"
137539,2,52087,76800,"[{""i"":0,""x"":0,""y"":0,""w"":39680,""h"":30720},{""i"":1,""x"":1280,""y"":44800,""w"":40960,""h"":32000}]"
137630,2,42462,55040,"[{""i"":0,""x"":0,""y"":0,""w"":23040,""h"":26880},{""i"":1,""x"":0,""y"":26880,""w"":23040,""h"":28160}]"
137877-1,2,43468,51200,"[{""i"":0,""x"":0,""y"":28160,""w"":23040,""h"":23040},{""i"":1,""x"":1280,""y"":0,""w"":23040,""h"":21760}]"
137877-2,2,46080,61440,"[{""i"":0,""x"":0,""y"":0,""w"":29440,""h"":29440},{""i"":1,""x"":0,""y"":30720,""w"":29440,""h"":30720}]"
137969,2,53515,65280,"[{""i"":0,""x"":0,""y"":0,""w"":29440,""h"":30720},{""i"":1,""x"":0,""y"":30720,""w"":30720,""h"":34560}]"
137973-1,2,48882,97280,"[{""i"":0,""x"":0,""y"":0,""w"":33280,""h"":30720},{""i"":1,""x"":1280,""y"":66560,""w"":35840,""h"":30720}]"
137973-2,2,38891,52480,"[{""i"":0,""x"":0,""y"":0,""w"":17920,""h"":21760},{""i"":1,""x"":0,""y"":28160,""w"":16640,""h"":24320}]"
138527,2,54977,64000,"[{""i"":0,""x"":0,""y"":0,""w"":23040,""h"":32000},{""i"":1,""x"":24320,""y"":33280,""w"":24320,""h"":30720}]"
139721-1,2,43654,51200,"[{""i"":0,""x"":0,""y"":0,""w"":23040,""h"":21760},{""i"":1,""x"":1280,""y"":28160,""w"":24320,""h"":23040}]"
139721-2,2,30043,47360,"[{""i"":0,""x"":0,""y"":30720,""w"":14080,""h"":16640},{""i"":1,""x"":1280,""y"":0,""w"":15360,""h"":15360}]"
139725-1,2,43654,51200,"[{""i"":0,""x"":0,""y"":0,""w"":23040,""h"":21760},{""i"":1,""x"":1280,""y"":28160,""w"":24320,""h"":23040}]"
139725-2,2,30043,47360,"[{""i"":0,""x"":0,""y"":30720,""w"":14080,""h"":16640},{""i"":1,""x"":1280,""y"":0,""w"":15360,""h"":15360}]"
139772,2,48907,48640,"[{""i"":0,""x"":0,""y"":25600,""w"":28160,""h"":23040},{""i"":1,""x"":1280,""y"":0,""w"":28160,""h"":23040}]"
141426-2,2,31975,48640,"[{""i"":0,""x"":0,""y"":0,""w"":21760,""h"":25600},{""i"":1,""x"":0,""y"":26880,""w"":23040,""h"":21760}]"
141560,2,43075,57600,"[{""i"":0,""x"":0,""y"":30720,""w"":25600,""h"":26880},{""i"":1,""x"":5120,""y"":0,""w"":25600,""h"":29440}]"
141756,2,46957,79360,"[{""i"":0,""x"":3840,""y"":0,""w"":29440,""h"":25600},{""i"":1,""x"":0,""y"":52480,""w"":28160,""h"":26880}]"
141760,2,43299,80640,"[{""i"":0,""x"":0,""y"":0,""w"":29440,""h"":26880},{""i"":1,""x"":0,""y"":52480,""w"":29440,""h"":28160}]"
141825,2,49583,83200,"[{""i"":0,""x"":0,""y"":0,""w"":42240,""h"":33280},{""i"":1,""x"":0,""y"":48640,""w"":43520,""h"":34560}]"
142430,2,56123,78080,"[{""i"":0,""x"":0,""y"":0,""w"":51200,""h"":12800},{""i"":1,""x"":8960,""y"":49920,""w"":29440,""h"":28160}]"
142432,2,38744,49920,"[{""i"":0,""x"":0,""y"":26880,""w"":29440,""h"":23040},{""i"":1,""x"":1280,""y"":0,""w"":29440,""h"":23040}]"
142536,2,46869,52480,"[{""i"":0,""x"":0,""y"":26880,""w"":30720,""h"":25600},{""i"":1,""x"":3840,""y"":0,""w"":30720,""h"":25600}]"
142696,2,43082,52480,"[{""i"":0,""x"":2560,""y"":0,""w"":30720,""h"":21760},{""i"":1,""x"":0,""y"":30720,""w"":29440,""h"":21760}]"
142887-2,2,42896,60160,"[{""i"":0,""x"":1280,""y"":0,""w"":30720,""h"":29440},{""i"":1,""x"":0,""y"":32000,""w"":29440,""h"":28160}]"
143091,2,43934,53760,"[{""i"":0,""x"":0,""y"":0,""w"":28160,""h"":25600},{""i"":1,""x"":0,""y"":28160,""w"":28160,""h"":25600}]"
143870,2,42401,57600,"[{""i"":0,""x"":0,""y"":28160,""w"":30720,""h"":29440},{""i"":1,""x"":2560,""y"":0,""w"":32000,""h"":28160}]"
144672,2,44306,57600,"[{""i"":0,""x"":3840,""y"":0,""w"":26880,""h"":26880},{""i"":1,""x"":0,""y"":28160,""w"":25600,""h"":29440}]"
144822,2,48272,55040,"[{""i"":0,""x"":0,""y"":32000,""w"":29440,""h"":23040},{""i"":1,""x"":1280,""y"":0,""w"":29440,""h"":25600}]"
144993,2,40216,57600,"[{""i"":0,""x"":0,""y"":0,""w"":33280,""h"":28160},{""i"":1,""x"":1280,""y"":29440,""w"":34560,""h"":28160}]"
144995,2,38782,53760,"[{""i"":0,""x"":0,""y"":28160,""w"":23040,""h"":25600},{""i"":1,""x"":3840,""y"":0,""w"":24320,""h"":25600}]"
145450,2,40284,48640,"[{""i"":0,""x"":0,""y"":0,""w"":26880,""h"":21760},{""i"":1,""x"":0,""y"":28160,""w"":26880,""h"":20480}]"
145814,2,52831,71680,"[{""i"":0,""x"":0,""y"":0,""w"":44800,""h"":30720},{""i"":1,""x"":1280,""y"":42240,""w"":46080,""h"":29440}]"
145819,2,54073,49920,"[{""i"":0,""x"":1280,""y"":0,""w"":33280,""h"":23040},{""i"":1,""x"":0,""y"":25600,""w"":34560,""h"":24320}]"
145913,2,49152,55040,"[{""i"":0,""x"":0,""y"":0,""w"":32000,""h"":26880},{""i"":1,""x"":3840,""y"":26880,""w"":32000,""h"":28160}]"
145917,2,50839,56320,"[{""i"":0,""x"":0,""y"":0,""w"":30720,""h"":28160},{""i"":1,""x"":3840,""y"":29440,""w"":32000,""h"":26880}]"
146356,2,45022,46080,"[{""i"":0,""x"":0,""y"":0,""w"":21760,""h"":17920},{""i"":1,""x"":2560,""y"":28160,""w"":23040,""h"":17920}]"
146358,2,46055,58880,"[{""i"":0,""x"":1280,""y"":0,""w"":34560,""h"":29440},{""i"":1,""x"":0,""y"":30720,""w"":37120,""h"":28160}]"
147247,2,44453,60160,"[{""i"":0,""x"":0,""y"":0,""w"":34560,""h"":28160},{""i"":1,""x"":1280,""y"":32000,""w"":33280,""h"":28160}]"
147258,2,41756,56320,"[{""i"":0,""x"":0,""y"":0,""w"":32000,""h"":26880},{""i"":1,""x"":0,""y"":28160,""w"":30720,""h"":28160}]"
147339,2,42896,58880,"[{""i"":0,""x"":0,""y"":0,""w"":32000,""h"":29440},{""i"":1,""x"":0,""y"":29440,""w"":30720,""h"":29440}]"
147341,2,43499,56320,"[{""i"":0,""x"":0,""y"":0,""w"":35840,""h"":28160},{""i"":1,""x"":0,""y"":29440,""w"":35840,""h"":26880}]"
147414,2,52582,84480,"[{""i"":0,""x"":0,""y"":49920,""w"":38400,""h"":34560},{""i"":1,""x"":0,""y"":0,""w"":39680,""h"":33280}]"
147774,2,43710,58880,"[{""i"":0,""x"":0,""y"":0,""w"":29440,""h"":29440},{""i"":1,""x"":0,""y"":28160,""w"":26880,""h"":30720}]"
147784,2,47430,90880,"[{""i"":0,""x"":10240,""y"":0,""w"":29440,""h"":28160},{""i"":1,""x"":0,""y"":57600,""w"":28160,""h"":33280}]"
147844,2,51004,74240,"[{""i"":0,""x"":0,""y"":48640,""w"":46080,""h"":25600},{""i"":1,""x"":0,""y"":0,""w"":46080,""h"":26880}]"
148150,2,40620,57600,"[{""i"":0,""x"":0,""y"":0,""w"":30720,""h"":29440},{""i"":1,""x"":2560,""y"":29440,""w"":30720,""h"":28160}]"
148365,2,43906,58880,"[{""i"":0,""x"":2560,""y"":0,""w"":32000,""h"":30720},{""i"":1,""x"":0,""y"":29440,""w"":30720,""h"":29440}]"
148709,2,45133,61440,"[{""i"":0,""x"":0,""y"":0,""w"":33280,""h"":29440},{""i"":1,""x"":0,""y"":29440,""w"":32000,""h"":32000}]"
148713,2,50773,57600,"[{""i"":0,""x"":0,""y"":0,""w"":28160,""h"":28160},{""i"":1,""x"":0,""y"":30720,""w"":28160,""h"":26880}]"
148716,2,43625,60160,"[{""i"":0,""x"":0,""y"":0,""w"":29440,""h"":28160},{""i"":1,""x"":0,""y"":30720,""w"":32000,""h"":29440}]"
148771,2,39694,53760,"[{""i"":0,""x"":0,""y"":30720,""w"":26880,""h"":23040},{""i"":1,""x"":1280,""y"":0,""w"":26880,""h"":23040}]"
148778,2,44274,87040,"[{""i"":0,""x"":3840,""y"":0,""w"":32000,""h"":29440},{""i"":1,""x"":0,""y"":56320,""w"":29440,""h"":30720}]"
148781,2,46231,56320,"[{""i"":0,""x"":0,""y"":28160,""w"":32000,""h"":28160},{""i"":1,""x"":1280,""y"":0,""w"":33280,""h"":28160}]"
149567-2,2,47090,57600,"[{""i"":0,""x"":0,""y"":29440,""w"":30720,""h"":28160},{""i"":1,""x"":1280,""y"":0,""w"":30720,""h"":26880}]"
149618-1,2,47718,57600,"[{""i"":0,""x"":1280,""y"":29440,""w"":26880,""h"":28160},{""i"":1,""x"":0,""y"":0,""w"":26880,""h"":28160}]"
149618-2,2,38695,64000,"[{""i"":0,""x"":0,""y"":0,""w"":26880,""h"":29440},{""i"":1,""x"":1280,""y"":33280,""w"":28160,""h"":30720}]"
149771,2,37636,47360,"[{""i"":0,""x"":0,""y"":0,""w"":24320,""h"":21760},{""i"":1,""x"":0,""y"":25600,""w"":25600,""h"":21760}]"
150986-3,2,42019,48640,"[{""i"":0,""x"":0,""y"":28160,""w"":28160,""h"":20480},{""i"":1,""x"":0,""y"":0,""w"":28160,""h"":19200}]"
152293,2,45365,55040,"[{""i"":0,""x"":0,""y"":0,""w"":34560,""h"":28160},{""i"":1,""x"":0,""y"":28160,""w"":33280,""h"":26880}]"
152303,2,40672,56320,"[{""i"":0,""x"":1280,""y"":0,""w"":34560,""h"":26880},{""i"":1,""x"":0,""y"":29440,""w"":33280,""h"":26880}]"
153228,2,40946,92160,"[{""i"":0,""x"":3840,""y"":0,""w"":32000,""h"":32000},{""i"":1,""x"":0,""y"":60160,""w"":33280,""h"":32000}]"
153253-2,3,52974,66560,"[{""i"":0,""x"":0,""y"":0,""w"":49920,""h"":7680},{""i"":1,""x"":6400,""y"":40960,""w"":32000,""h"":25600},{""i"":2,""x"":15360,""y"":14080,""w"":30720,""h"":25600}]"
154142,2,48149,58880,"[{""i"":0,""x"":0,""y"":0,""w"":32000,""h"":28160},{""i"":1,""x"":2560,""y"":29440,""w"":33280,""h"":29440}]"
154404,2,48342,61440,"[{""i"":0,""x"":1280,""y"":0,""w"":38400,""h"":30720},{""i"":1,""x"":0,""y"":30720,""w"":37120,""h"":30720}]"
154773,3,46526,81920,"[{""i"":0,""x"":0,""y"":28160,""w"":25600,""h"":25600},{""i"":1,""x"":0,""y"":57600,""w"":25600,""h"":24320},{""i"":2,""x"":0,""y"":0,""w"":25600,""h"":24320}]"
155104,2,40967,53760,"[{""i"":0,""x"":0,""y"":29440,""w"":26880,""h"":24320},{""i"":1,""x"":0,""y"":0,""w"":26880,""h"":28160}]"
155525,2,45063,85760,"[{""i"":0,""x"":0,""y"":0,""w"":38400,""h"":37120},{""i"":1,""x"":1280,""y"":48640,""w"":39680,""h"":37120}]"
155553,2,41118,62720,"[{""i"":0,""x"":0,""y"":0,""w"":28160,""h"":30720},{""i"":1,""x"":1280,""y"":30720,""w"":30720,""h"":32000}]"
155793-1,2,38053,55040,"[{""i"":0,""x"":0,""y"":0,""w"":26880,""h"":28160},{""i"":1,""x"":1280,""y"":28160,""w"":26880,""h"":26880}]"
157135,2,47224,53760,"[{""i"":0,""x"":1280,""y"":0,""w"":29440,""h"":25600},{""i"":1,""x"":0,""y"":26880,""w"":28160,""h"":26880}]"
157376,2,52442,48640,"[{""i"":0,""x"":0,""y"":25600,""w"":33280,""h"":23040},{""i"":1,""x"":5120,""y"":0,""w"":33280,""h"":24320}]"
158901,2,35135,56320,"[{""i"":0,""x"":0,""y"":0,""w"":28160,""h"":28160},{""i"":1,""x"":0,""y"":29440,""w"":26880,""h"":26880}]"
159188,2,55027,55040,"[{""i"":0,""x"":0,""y"":0,""w"":32000,""h"":26880},{""i"":1,""x"":1280,""y"":26880,""w"":32000,""h"":28160}]"
160814,2,49696,64000,"[{""i"":0,""x"":10240,""y"":0,""w"":24320,""h"":21760},{""i"":1,""x"":0,""y"":38400,""w"":28160,""h"":25600}]"
161463,2,39070,55040,"[{""i"":0,""x"":0,""y"":29440,""w"":28160,""h"":25600},{""i"":1,""x"":3840,""y"":0,""w"":29440,""h"":25600}]"
B25-150006,2,48121,79360,"[{""i"":0,""x"":0,""y"":0,""w"":42240,""h"":30720},{""i"":1,""x"":0,""y"":48640,""w"":40960,""h"":30720}]"
B25-150011,2,48219,83200,"[{""i"":0,""x"":0,""y"":52480,""w"":44800,""h"":30720},{""i"":1,""x"":0,""y"":0,""w"":44800,""h"":30720}]"
B25-150012,2,41482,57600,"[{""i"":0,""x"":0,""y"":0,""w"":30720,""h"":25600},{""i"":1,""x"":0,""y"":32000,""w"":32000,""h"":25600}]"
B25-150234,2,52101,93440,"[{""i"":0,""x"":0,""y"":0,""w"":42240,""h"":42240},{""i"":1,""x"":1280,""y"":48640,""w"":46080,""h"":44800}]"
B25-150336,3,38460,80640,"[{""i"":0,""x"":0,""y"":0,""w"":23040,""h"":24320},{""i"":1,""x"":1280,""y"":29440,""w"":24320,""h"":23040},{""i"":2,""x"":1280,""y"":56320,""w"":25600,""h"":24320}]"
B25-150401,2,40066,61440,"[{""i"":0,""x"":0,""y"":0,""w"":26880,""h"":28160},{""i"":1,""x"":2560,""y"":29440,""w"":28160,""h"":32000}]"
B25-150410,2,47406,58880,"[{""i"":0,""x"":0,""y"":0,""w"":28160,""h"":28160},{""i"":1,""x"":0,""y"":28160,""w"":30720,""h"":30720}]"
B25-150766,2,51646,58880,"[{""i"":0,""x"":0,""y"":0,""w"":28160,""h"":30720},{""i"":1,""x"":2560,""y"":29440,""w"":28160,""h"":29440}]"
B25-150881,2,44955,66560,"[{""i"":0,""x"":0,""y"":0,""w"":30720,""h"":33280},{""i"":1,""x"":1280,""y"":33280,""w"":33280,""h"":33280}]"
B25-150986,2,44456,58880,"[{""i"":0,""x"":0,""y"":0,""w"":33280,""h"":26880},{""i"":1,""x"":0,""y"":28160,""w"":35840,""h"":30720}]"
B25-151026,2,42893,61440,"[{""i"":0,""x"":0,""y"":0,""w"":25600,""h"":30720},{""i"":1,""x"":3840,""y"":29440,""w"":26880,""h"":32000}]"
B25-151029,2,42893,61440,"[{""i"":0,""x"":0,""y"":0,""w"":25600,""h"":30720},{""i"":1,""x"":3840,""y"":29440,""w"":26880,""h"":32000}]"
B25-151245,3,51786,57600,"[{""i"":0,""x"":0,""y"":0,""w"":32000,""h"":25600},{""i"":1,""x"":0,""y"":25600,""w"":30720,""h"":28160},{""i"":2,""x"":14080,""y"":53760,""w"":2560,""h"":3840}]"
B25-151249,2,46557,85760,"[{""i"":0,""x"":1280,""y"":44800,""w"":35840,""h"":40960},{""i"":1,""x"":0,""y"":0,""w"":37120,""h"":40960}]"
B25-151501,2,45137,61440,"[{""i"":0,""x"":0,""y"":0,""w"":30720,""h"":33280},{""i"":1,""x"":2560,""y"":32000,""w"":32000,""h"":29440}]"
B25-151504,2,45168,62720,"[{""i"":0,""x"":1280,""y"":0,""w"":28160,""h"":29440},{""i"":1,""x"":0,""y"":32000,""w"":29440,""h"":30720}]"
B25-152204,2,48990,99840,"[{""i"":0,""x"":0,""y"":51200,""w"":43520,""h"":48640},{""i"":1,""x"":0,""y"":0,""w"":43520,""h"":46080}]"
B25-158410,2,51386,58880,"[{""i"":0,""x"":0,""y"":0,""w"":35840,""h"":28160},{""i"":1,""x"":0,""y"":29440,""w"":32000,""h"":29440}]"
B25-158680,2,53332,89600,"[{""i"":0,""x"":0,""y"":0,""w"":42240,""h"":39680},{""i"":1,""x"":5120,""y"":49920,""w"":42240,""h"":39680}]"
B25-158771,2,49016,85760,"[{""i"":0,""x"":0,""y"":57600,""w"":32000,""h"":28160},{""i"":1,""x"":1280,""y"":0,""w"":34560,""h"":30720}]"
B25-158899,2,50868,58880,"[{""i"":0,""x"":0,""y"":0,""w"":28160,""h"":25600},{""i"":1,""x"":0,""y"":30720,""w"":29440,""h"":28160}]"
B25-159565,2,53946,78080,"[{""i"":0,""x"":0,""y"":42240,""w"":38400,""h"":35840},{""i"":1,""x"":0,""y"":0,""w"":38400,""h"":30720}]"
B25-160810,3,48507,70400,"[{""i"":0,""x"":8960,""y"":28160,""w"":23040,""h"":20480},{""i"":1,""x"":0,""y"":48640,""w"":21760,""h"":21760},{""i"":2,""x"":7680,""y"":0,""w"":25600,""h"":20480}]"
B25-161152,2,54609,90880,"[{""i"":0,""x"":0,""y"":0,""w"":47360,""h"":39680},{""i"":1,""x"":1280,""y"":49920,""w"":44800,""h"":40960}]"
B25-162426,2,52670,84480,"[{""i"":0,""x"":0,""y"":0,""w"":38400,""h"":34560},{""i"":1,""x"":0,""y"":49920,""w"":37120,""h"":34560}]"
B25-162428,2,49292,61440,"[{""i"":0,""x"":0,""y"":0,""w"":37120,""h"":30720},{""i"":1,""x"":0,""y"":29440,""w"":37120,""h"":32000}]"
B25-163345,3,52764,93440,"[{""i"":0,""x"":6400,""y"":0,""w"":33280,""h"":28160},{""i"":1,""x"":3840,""y"":32000,""w"":30720,""h"":28160},{""i"":2,""x"":0,""y"":61440,""w"":32000,""h"":32000}]"
B25-163346,2,47605,87040,"[{""i"":0,""x"":0,""y"":0,""w"":34560,""h"":39680},{""i"":1,""x"":0,""y"":43520,""w"":37120,""h"":43520}]"
B25-163514,2,51853,52480,"[{""i"":0,""x"":3840,""y"":0,""w"":35840,""h"":21760},{""i"":1,""x"":0,""y"":29440,""w"":35840,""h"":23040}]"
B25-163767,2,51982,76800,"[{""i"":0,""x"":0,""y"":0,""w"":32000,""h"":30720},{""i"":1,""x"":5120,""y"":44800,""w"":32000,""h"":32000}]"
B25-164009,2,51996,84480,"[{""i"":0,""x"":0,""y"":48640,""w"":40960,""h"":35840},{""i"":1,""x"":1280,""y"":0,""w"":40960,""h"":34560}]"
