rank,expert,slot,mean_combine_weight,mean_routing_logit
141,8,4,1.706685e-03,1.270167e-02
142,27,5,1.691169e-03,2.672095e-01
143,16,3,1.685120e-03,-1.856100e+00
144,10,1,1.659908e-03,8.783321e-01
145,27,3,1.652161e-03,8.183956e-01
146,15,8,1.632176e-03,-1.470148e+00
147,19,7,1.616699e-03,-4.426371e-01
148,17,8,1.593671e-03,-7.291541e-02
149,25,7,1.592271e-03,1.302514e-01
150,20,1,1.580526e-03,-6.277840e-01
151,20,0,1.580073e-03,8.060941e-01
152,8,8,1.555766e-03,-1.337925e+00
153,7,9,1.550987e-03,-1.925073e+00
154,1,0,1.534194e-03,-1.596935e+00
155,9,4,1.496291e-03,-5.273710e-01
156,16,2,1.456844e-03,1.337513e+00
157,20,3,1.456218e-03,-1.453655e+00
158,19,1,1.431658e-03,-3.514495e-02
159,16,8,1.431224e-03,2.081442e-01
160,5,2,1.430910e-03,-2.450847e-01
161,19,2,1.425043e-03,-7.310764e-01
162,20,8,1.407820e-03,-1.033287e+00
163,7,1,1.376981e-03,-7.951202e-01
164,19,4,1.356554e-03,-3.027169e-01
165,9,6,1.350084e-03,2.110724e-01
166,11,0,1.337058e-03,-5.631704e-02
167,23,1,1.326407e-03,-3.294729e-01
168,2,8,1.326345e-03,-1.340468e+00
169,13,1,1.318509e-03,-5.068858e-01
170,22,8,1.315466e-03,-1.565001e+00
171,20,7,1.252469e-03,-9.731496e-01
172,16,6,1.244603e-03,-1.138095e+00
173,7,6,1.220938e-03,-7.433992e-01
174,7,5,1.206578e-03,-1.964150e-01
175,13,7,1.186863e-03,-1.886459e+00
176,27,7,1.155009e-03,-1.667770e-01
177,25,4,1.128000e-03,-2.224414e+00
178,8,1,1.119000e-03,-3.612601e-01
179,25,3,1.103073e-03,-3.109418e-01
180,19,0,1.087191e-03,-1.553268e-01
181,18,3,1.084328e-03,3.035961e-02
182,10,7,1.077929e-03,-7.738955e-01
183,21,7,1.076110e-03,-2.019964e+00
184,1,7,1.037575e-03,-1.189110e+00
185,8,3,1.037351e-03,-8.819497e-01
186,3,2,1.023588e-03,-6.803116e-02
187,11,5,1.005795e-03,-4.574524e-01
188,27,4,9.989612e-04,-6.068317e-01
189,14,0,9.887009e-04,-1.387902e+00
190,23,7,9.810028e-04,-1.803519e-01
191,5,8,9.723390e-04,2.140323e-01
192,28,0,9.622040e-04,-3.156245e-02
