rank,expert,slot,mean_combine_weight,mean_routing_logit
46,11,9,5.976663e-03,1.155675e-01
47,10,0,5.956604e-03,6.660869e-01
48,9,9,5.789411e-03,-7.713851e-01
49,21,6,5.654512e-03,1.186990e+00
50,15,0,5.532203e-03,9.594404e-02
51,13,8,5.457616e-03,2.115139e+00
52,22,3,5.168566e-03,3.413401e-01
53,26,9,5.113195e-03,8.292618e-01
54,16,5,5.083107e-03,-8.228032e-02
55,21,8,5.005979e-03,5.224879e-01
56,0,8,4.948924e-03,8.155078e-01
57,9,0,4.841661e-03,2.935346e-01
58,17,0,4.832533e-03,1.101711e+00
59,1,8,4.805284e-03,-1.469010e-02
60,26,6,4.769071e-03,1.054698e+00
61,27,6,4.703816e-03,4.171664e-02
62,0,9,4.654783e-03,3.198181e-01
63,12,3,4.650959e-03,-6.128321e-01
64,6,0,4.567179e-03,-2.658550e-01
65,1,0,4.541759e-03,5.106714e-01
66,27,8,4.483041e-03,-8.028042e-02
67,5,3,4.474808e-03,4.424610e-01
68,13,4,4.307137e-03,5.003898e-01
69,20,5,4.241005e-03,-5.301262e-01
70,0,3,4.048137e-03,1.469282e+00
71,15,3,3.950556e-03,9.127921e-01
72,11,5,3.833046e-03,1.401242e-01
73,18,8,3.792575e-03,8.684339e-01
74,21,2,3.787597e-03,6.143349e-01
75,23,1,3.773110e-03,5.161433e-02
76,14,1,3.753135e-03,4.168891e-01
77,9,5,3.750192e-03,7.844182e-01
78,3,6,3.748250e-03,-7.022029e-01
79,26,0,3.638489e-03,-4.117988e-01
80,18,5,3.624585e-03,8.385555e-01
81,10,6,3.624017e-03,-1.417880e+00
82,14,3,3.586875e-03,-3.103430e-02
83,12,9,3.510264e-03,5.813522e-01
84,7,5,3.509783e-03,-7.442512e-03
85,28,6,3.436205e-03,1.066402e+00
86,21,1,3.417691e-03,-8.552880e-01
87,23,4,3.405564e-03,1.151104e+00
88,23,3,3.395117e-03,-3.028423e-01
89,22,6,3.360230e-03,4.651744e-01
90,4,1,3.318406e-03,-8.991105e-02
91,23,9,3.274358e-03,1.129445e-01
92,24,1,3.254887e-03,-2.860840e-01
93,23,0,3.192866e-03,-8.190978e-02
94,27,9,3.131431e-03,3.777753e-01
95,6,6,3.106037e-03,-2.437430e-01
96,5,4,3.079957e-03,4.183291e-01
