bloque,posicion_en_la_lamina,familia,id,x,y,brillo,saturacion,fraccion_fondo
sin_marca,150,3,166,26594.1,22166.9,140.6,0.351,0.077
sin_marca,151,3,54,10963.7,23281.2,144.8,0.316,0.016
sin_marca,152,3,32,13384.8,5523.3,158.6,0.279,0.064
sin_marca,153,3,48,10676.4,20188.1,145.2,0.298,0.047
sin_marca,154,3,71,16106.2,7572.3,146.5,0.326,0.105
sin_marca,155,3,152,24094.5,6377.6,139.8,0.36,0.065
sin_marca,156,3,59,14381.7,61007.0,148.6,0.336,0.16
sin_marca,157,3,63,15504.6,10628.8,150.6,0.314,0.111
sin_marca,158,3,64,15501.7,10641.7,151.2,0.313,0.122
sin_marca,159,3,45,14649.6,10065.6,162.9,0.249,0.287
sin_marca,160,3,169,26280.3,23152.6,173.0,0.234,0.35
sin_marca,161,4,36,12796.9,6592.6,149.1,0.323,0.265
sin_marca,162,4,109,11380.7,57113.5,151.6,0.308,0.329
sin_marca,163,4,110,11399.5,57119.1,169.0,0.245,0.473
acertadas,0,,0,9829.0,70602.7,129.0,0.373,0.041
acertadas,1,,14,9656.0,70540.1,132.9,0.362,0.032
acertadas,2,,10,10372.8,72007.4,138.0,0.363,0.02
acertadas,3,,1,9478.0,71451.2,136.6,0.365,0.015
acertadas,4,,2,14961.2,58835.3,142.2,0.347,0.029
acertadas,5,,18,12869.9,55664.2,141.6,0.357,0.03
acertadas,6,,24,14066.9,57501.4,143.8,0.357,0.043
acertadas,7,,12,13848.1,57087.5,144.6,0.353,0.048
acertadas,8,,7,11885.0,56022.5,158.7,0.283,0.047
acertadas,9,,22,13409.4,55736.7,149.3,0.341,0.035
acertadas,10,,23,12590.3,58698.1,147.0,0.339,0.023
acertadas,11,,11,13871.9,56978.8,132.9,0.379,0.025
acertadas,12,,25,13924.3,60040.0,131.7,0.393,0.022
falladas,0,,15,13146.2,59289.4,148.6,0.328,0.071
falladas,1,,9,11758.5,55906.8,148.9,0.331,0.06
falladas,2,,16,12454.2,58638.4,153.5,0.31,0.03
falladas,3,,20,11899.5,57731.8,151.9,0.31,0.024
falladas,4,,5,12294.0,59305.6,157.2,0.31,0.043
falladas,5,,8,12638.2,58597.4,148.3,0.33,0.028
falladas,6,,21,12441.2,58372.4,138.9,0.355,0.04
falladas,7,,19,12744.5,55876.8,143.4,0.341,0.021
falladas,8,,6,13373.5,55771.8,141.3,0.349,0.022
falladas,9,,13,11693.2,55374.4,140.1,0.335,0.018
falladas,10,,17,10399.5,72172.8,135.1,0.367,0.027
falladas,11,,4,12406.5,58274.8,153.9,0.324,0.064
falladas,12,,3,9736.0,71521.6,147.7,0.327,0.046
