rank,expert,slot,mean_combine_weight,mean_routing_logit
272,28,8,4.954142e-04,-2.803123e-01
273,27,8,4.883786e-04,-1.234939e+00
274,7,5,4.857815e-04,-3.358322e-01
275,19,8,4.636966e-04,1.114233e-01
276,7,6,4.562127e-04,2.771979e-01
277,6,9,4.479386e-04,-1.582670e-01
278,1,6,4.448271e-04,-2.862177e-01
279,28,3,4.426486e-04,-8.801557e-01
280,5,8,4.367976e-04,-1.177434e-01
281,22,9,4.313084e-04,-1.286308e+00
282,9,9,4.303813e-04,-1.139558e+00
283,18,5,4.220275e-04,7.442999e-01
284,0,5,4.055035e-04,-1.995943e-01
285,23,1,4.047937e-04,-1.285713e+00
286,0,9,3.979162e-04,-7.105875e-01
287,25,8,3.959574e-04,-9.460807e-01
288,22,8,3.955490e-04,-1.098514e+00
289,1,4,3.804369e-04,-8.411740e-01
290,1,2,3.629020e-04,2.665409e-01
291,1,9,3.587406e-04,-1.857252e+00
292,20,5,3.424259e-04,-3.512554e-01
293,24,0,3.239616e-04,-2.548870e-01
294,17,1,3.164074e-04,-2.757809e-01
295,4,6,3.104316e-04,-2.125080e+00
296,6,2,2.903041e-04,-1.390002e+00
297,6,3,2.735285e-04,-4.973317e-01
298,25,0,2.461447e-04,-1.051176e+00
299,23,3,2.269420e-04,-1.156528e+00
