slide,clase,grupo,f_epi,n_epi,n_conn,area_um2,celdas,alineada
124806,Tumor,epitelio,0.825,132,28,24687.705600000005,1784,True
124806,Tumor,epitelio,0.9382716049382716,76,5,10876.9824,786,True
124806,Tumor,epitelio,0.903316866619619,1280,137,184521.22560000003,13334,True
124806,Tumor,epitelio,0.9047619047619048,38,4,5978.188800000001,432,True
126504,CDIS_solido,epitelio,0.9617834394904459,151,6,23331.542400000002,1686,True
126504,AreaSolida,epitelio,0.7311178247734139,242,89,72582.40800000001,5245,True
126504,AreaTubular,epitelio,0.8563829787234043,161,27,40767.926400000004,2946,True
126504,Tumor,epitelio,0.8833333333333333,106,14,39563.98560000001,2859,True
126504,AreaTubular,epitelio,0.8108108108108109,240,56,56073.196800000005,4052,True
126504,Stroma,estroma,0.0,0,17,5410.814400000001,391,True
126504,AreaSolida,epitelio,0.8928571428571429,150,18,36588.729600000006,2644,True
126504,AreaSolida,epitelio,0.9433962264150944,200,12,27801.345600000004,2009,True
126504,AreaTubular,epitelio,0.7543859649122807,43,14,12828.196800000002,927,True
126504,Tumor,epitelio,0.963855421686747,80,3,21933.864,1585,True
126504,AreaTubular,epitelio,0.8709677419354839,54,8,10876.9824,786,True
126504,Tumor,epitelio,0.7923076923076923,103,27,32866.200000000004,2375,True
126504,AreaTubular,epitelio,0.8390804597701149,73,14,15651.230400000002,1131,True
126504,AreaSolida,epitelio,0.8513513513513513,63,11,19885.780800000004,1437,True
128194,Stroma,estroma,0.0,0,27,176771.72160000002,12774,True
128194,Tumor,epitelio,0.7755102040816326,38,11,11375.164800000002,822,True
128194,Tumor,epitelio,0.9555555555555556,43,2,6254.956800000001,452,True
128194,AreaSolida,epitelio,0.8992805755395683,125,14,17533.252800000002,1267,True
128194,Tumor,epitelio,0.9090909090909091,10,1,1674.4464000000003,121,True
128194,AreaSolida,epitelio,0.8307692307692308,54,11,7334.352000000001,530,True
128194,Tumor,epitelio,0.875968992248062,113,16,11070.720000000001,800,True
128194,Tumor,epitelio,0.9236111111111112,133,11,14557.996800000003,1052,True
128194,Tumor,epitelio,1.0,52,0,7278.998400000001,526,True
128194,AreaSolida,epitelio,0.7518248175182481,103,34,20494.670400000003,1481,True
128194,AreaSolida,epitelio,0.9397590361445783,78,5,12565.267200000002,908,True
128194,AreaSolida,epitelio,0.9761904761904762,41,1,6642.432000000001,480,True
128194,Tumor,epitelio,0.9264705882352942,63,5,13381.732800000002,967,True
128194,Tumor,epitelio,0.4898989898989899,97,101,30181.550400000004,2181,True
128194,Tumor,epitelio,0.8133971291866029,170,39,27372.3552,1978,True
128194,AreaSolida,epitelio,1.0,36,0,3445.7616000000003,249,True
128194,Tumor,epitelio,0.8974358974358975,35,4,6974.553600000001,504,True
128194,Tumor,epitelio,0.9017857142857143,202,22,30638.217600000004,2214,True
128194,Tumor,epitelio,0.9285714285714286,78,6,13409.4096,969,True
144317,Stroma,estroma,0.0,0,10,36630.24480000001,2647,True
144317,AreaSolida,epitelio,0.0,0,3,1273.1328,92,True
144317,Tejido Adiposo,estroma,0.0,0,4,22196.793600000005,1604,True
144317,Tumor,epitelio,0.7058823529411765,12,5,2975.2560000000003,215,True
144317,Tumor,epitelio,1.0,3,0,650.4048000000001,47,True
144317,AreaSolida,epitelio,1.0,3,0,484.34400000000005,35,True
144317,Tumor,epitelio,0.5901639344262295,36,25,13893.753600000002,1004,True
144317,AreaSolida,epitelio,0.8571428571428571,6,1,1065.5568,77,True
144317,Tumor,epitelio,0.4,2,3,1065.5568,77,True
144317,Tumor,epitelio,1.0,10,0,1798.9920000000002,130,True
144317,Tumor,epitelio,0.75,6,2,1024.0416000000002,74,True
144317,Tumor,epitelio,0.723404255319149,34,13,9064.152000000002,655,True
144317,AreaSolida,epitelio,0.5714285714285714,12,9,3847.0752000000007,278,True
144317,AreaSolida,epitelio,0.8181818181818182,9,2,3431.9232000000006,248,True
144317,AreaSolida,epitelio,1.0,10,0,2767.6800000000003,200,True
144317,AreaSolida,epitelio,0.0,0,6,1508.3856000000003,109,True
144317,Tumor,epitelio,0.8148148148148148,22,5,4954.1472,358,True
144317,Tumor,epitelio,0.9411764705882353,16,1,2283.3360000000002,165,True
144317,AreaSolida,epitelio,0.5,16,16,5604.552000000001,405,True
144317,AreaSolida,epitelio,0.6551724137931034,19,10,7099.099200000001,513,True
144317,Tumor,epitelio,1.0,6,0,1134.7488,82,True
144317,AreaSolida,epitelio,0.42857142857142855,9,12,3667.1760000000004,265,True
144317,AreaSolida,epitelio,0.3333333333333333,2,4,1411.5168,102,True
164001,Stroma,estroma,0.0,0,1,3819.3984000000005,276,False
164001,Stroma,estroma,0.0,0,15,8953.444800000001,647,False
164001,Stroma,estroma,0.0,0,4,3777.8832000000007,273,False
164001,Tejido Adiposo,estroma,0.0,0,22,183746.27520000003,13278,False
164001,Stroma,estroma,,0,0,2158.7904000000003,156,False
164001,Tumor,epitelio,1.0,23,0,2795.3568000000005,202,False
164001,Tejido Adiposo,estroma,0.038461538461538464,1,25,221732.68320000003,16023,False
164001,DCIS,epitelio,0.9042553191489362,170,18,19761.235200000003,1428,False
164001,Tejido Adiposo,estroma,0.041884816753926704,8,183,1358806.3344000003,98191,False
164001,Tejido Adiposo,estroma,0.14285714285714285,7,42,491955.12000000005,35550,False
164001,DCIS,epitelio,0.8350515463917526,324,64,56183.90400000001,4060,False
164001,Tumor,epitelio,0.375,3,5,1549.9008000000001,112,False
164001,Tumor,epitelio,0.36363636363636365,4,7,1646.7696000000003,119,False
164001,Tumor,epitelio,0.8888888888888888,24,3,3597.9840000000004,260,False
164001,DCIS,epitelio,0.9128787878787878,241,23,35398.6272,2558,False
164001,Tumor,epitelio,0.9259259259259259,25,2,3473.4384000000005,251,False
164001,Tumor,epitelio,0.76,19,6,2809.1952000000006,203,False
164001,Tumor,epitelio,0.0,0,8,2089.5984000000003,151,False
164001,Tumor,epitelio,0.8285714285714286,29,6,4220.712,305,False
B25-158899,Tejido Adiposo,estroma,0.0,0,7,53167.13280000001,3842,False
B25-158899,Stroma,estroma,0.0,0,1,53831.376000000004,3890,False
B25-158899,Tumor,epitelio,0.0,0,9,1591.4160000000002,115,False
B25-158899,Tumor,epitelio,,0,0,1093.2336000000003,79,False
B25-158899,Tumor,epitelio,0.0,0,2,3985.4592000000007,288,False
B25-158899,DCIS,epitelio,,0,0,52751.980800000005,3812,False
B25-158899,Stroma,estroma,,0,0,11222.942400000002,811,False
B25-158899,DCIS,epitelio,0.0,0,28,58065.92640000001,4196,False
B25-158899,Tumor,epitelio,0.0,0,4,2449.3968000000004,177,False
B25-158899,Tumor,epitelio,0.0,0,7,2504.7504000000004,181,False
B25-158899,Tumor,epitelio,,0,0,5922.8352,428,False
B25-158899,Tumor,epitelio,0.0,0,7,2753.8416,199,False
B25-158899,Tumor,epitelio,,0,0,3210.5088000000005,232,False
B25-158899,Tumor,epitelio,,0,0,1660.6080000000002,120,False
B25-158899,Tumor,epitelio,0.45714285714285713,16,19,11873.347200000002,858,False
B25-158899,Tejido Adiposo,estroma,0.0,0,48,21587.904000000002,1560,False
B25-158899,Tumor,epitelio,0.0,0,9,6393.340800000001,462,False
B25-158899,Tumor,epitelio,,0,0,3293.5392000000006,238,False
B25-158899,Tumor,epitelio,1.0,8,0,3833.2368000000006,277,False
B25-158899,DCIS,epitelio,0.3333333333333333,6,12,28188.820800000005,2037,False
