brazo,tipo,K,n_parches_mascara,objetos_a_mirar,unidad_objetos,area_mm2,pct_region,marcas_recuperadas,n_marcas,recall
CLAM∪Mammoth,CLAM∪Mammoth,100,164,164.0,parches,2.324,6.57,17.0,26,0.6538
CLAM∩Mammoth+HoVer-NeXt,CLAM∩Mammoth+HoVer-NeXt,100,36,11.0,nucleos,0.039,1.44,7.0,26,0.2692
CLAM∪Mammoth+HoVer-NeXt,CLAM∪Mammoth+HoVer-NeXt,100,164,30.0,nucleos,0.1063,6.57,9.0,26,0.3462
azar,azar,100,100,100.0,parches,1.4171,4.01,1.04,26,0.0401
azar+HoVer-NeXt,azar+HoVer-NeXt,100,100,3.3,nucleos,0.0116,4.01,0.52,26,0.02
CLAM,CLAM,189,189,189.0,parches,2.6782,7.57,15.0,26,0.5769
CLAM+HoVer-NeXt,CLAM+HoVer-NeXt,189,189,35.0,nucleos,0.124,7.57,10.0,26,0.3846
Mammoth,Mammoth,189,189,189.0,parches,2.6782,7.57,18.0,26,0.6923
Mammoth+HoVer-NeXt,Mammoth+HoVer-NeXt,189,189,33.0,nucleos,0.1169,7.57,11.0,26,0.4231
CLAM∩Mammoth,CLAM∩Mammoth,189,84,84.0,parches,1.1903,3.37,13.0,26,0.5
CLAM∪Mammoth,CLAM∪Mammoth,189,294,294.0,parches,4.1661,11.78,20.0,26,0.7692
CLAM∩Mammoth+HoVer-NeXt,CLAM∩Mammoth+HoVer-NeXt,189,84,20.0,nucleos,0.0709,3.37,10.0,26,0.3846
CLAM∪Mammoth+HoVer-NeXt,CLAM∪Mammoth+HoVer-NeXt,189,294,48.0,nucleos,0.17,11.78,11.0,26,0.4231
azar,azar,189,189,189.0,parches,2.6782,7.57,1.97,26,0.0757
azar+HoVer-NeXt,azar+HoVer-NeXt,189,189,6.2,nucleos,0.022,7.57,0.98,26,0.0379
CLAM,CLAM,300,300,300.0,parches,4.2512,12.02,19.0,26,0.7308
CLAM+HoVer-NeXt,CLAM+HoVer-NeXt,300,300,48.0,nucleos,0.17,12.02,11.0,26,0.4231
Mammoth,Mammoth,300,300,300.0,parches,4.2512,12.02,22.0,26,0.8462
Mammoth+HoVer-NeXt,Mammoth+HoVer-NeXt,300,300,46.0,nucleos,0.163,12.02,11.0,26,0.4231
CLAM∩Mammoth,CLAM∩Mammoth,300,150,150.0,parches,2.1256,6.01,17.0,26,0.6538
CLAM∪Mammoth,CLAM∪Mammoth,300,450,450.0,parches,6.3767,18.03,24.0,26,0.9231
