rank,expert,slot,mean_combine_weight,mean_routing_logit
50,16,0,4.734857e-03,1.707114e-01
51,12,5,4.634862e-03,7.265161e-01
52,22,9,4.513811e-03,-7.820290e-01
53,11,8,4.495489e-03,3.408989e-01
54,23,9,4.446537e-03,9.615670e-01
55,23,6,4.446225e-03,-9.171649e-01
56,29,2,4.375521e-03,-1.215028e+00
57,18,9,4.290686e-03,3.396603e-01
58,11,3,4.162594e-03,6.626793e-02
59,5,5,4.079456e-03,-8.131793e-01
60,15,4,4.071354e-03,-4.066291e-01
61,24,2,4.060849e-03,2.524482e-01
62,9,2,4.014434e-03,1.326383e+00
63,15,5,3.965189e-03,9.139500e-01
64,21,2,3.876747e-03,-7.493091e-01
65,0,5,3.863602e-03,1.084370e+00
66,28,1,3.838015e-03,6.762192e-01
67,10,3,3.776880e-03,1.308206e+00
68,22,4,3.759720e-03,8.505691e-01
69,10,9,3.706102e-03,-7.116157e-01
70,2,5,3.613205e-03,-4.505211e-01
71,18,4,3.600887e-03,-1.115179e+00
72,9,8,3.592810e-03,4.629929e-01
73,3,0,3.500593e-03,-7.547142e-01
74,9,1,3.485058e-03,9.165931e-01
75,29,1,3.436116e-03,8.784118e-01
76,8,8,3.396959e-03,-1.086252e+00
77,5,3,3.369028e-03,5.787278e-01
78,0,8,3.364114e-03,4.554706e-01
79,26,0,3.334852e-03,5.465476e-01
80,4,1,3.305949e-03,4.180227e-01
81,0,1,3.246206e-03,1.256536e+00
82,15,1,3.202003e-03,-1.466933e+00
83,19,4,3.188644e-03,1.291605e-01
84,11,6,3.164238e-03,2.861694e-03
85,20,2,3.064608e-03,-3.554339e-01
86,17,0,3.064125e-03,-3.721540e-01
87,15,3,3.046651e-03,8.220562e-01
88,28,7,2.975610e-03,-7.722446e-01
89,21,1,2.931810e-03,-1.508612e-01
90,5,7,2.905406e-03,1.364709e+00
91,4,3,2.814639e-03,-8.407495e-01
92,14,2,2.766851e-03,-8.144918e-02
93,0,4,2.764337e-03,1.501103e+00
94,23,8,2.705881e-03,7.185602e-01
95,24,8,2.696136e-03,-9.741393e-01
96,19,0,2.586713e-03,4.539825e-02
97,3,6,2.574903e-03,1.199614e-01
98,0,3,2.574244e-03,3.159993e-01
99,19,1,2.549975e-03,8.979618e-01
100,7,5,2.544246e-03,7.000774e-01
101,12,6,2.524125e-03,5.455602e-01
102,22,1,2.503042e-03,4.880948e-01
103,20,7,2.481695e-03,1.611764e-01
104,1,9,2.386760e-03,-7.900413e-01
105,11,7,2.381600e-03,5.436512e-01
106,21,4,2.364660e-03,1.906988e-01
107,20,3,2.347214e-03,-9.355955e-01
108,5,0,2.325063e-03,-4.094845e-01
109,18,7,2.284052e-03,1.172781e+00
110,19,2,2.278384e-03,-1.369949e-01
111,5,8,2.274642e-03,1.497391e+00
