ckpt,grupo,idx,x,y,atencion,percentil
seba_privado_s0,Tumor,2291,14461,58432,0.0005059674731455743,90.5377240516882
seba_privado_s0,Tumor,2292,14461,58688,0.00047656396054662764,88.84952063359734
seba_privado_s0,necrosis,1523,15870,75712,0.00018183454812970012,59.107961650687784
seba_privado_s0,necrosis,1524,15870,75968,0.00020259444136172533,61.56731971654856
seba_privado_s0,necrosis,1525,15870,76224,0.00028423586627468467,70.67528136723635
seba_privado_s0,necrosis,1535,16126,75712,0.00022945138334762305,64.44351813255523
seba_privado_s0,necrosis,1536,16126,75968,0.00020327074162196368,61.65068778657774
seba_privado_s0,necrosis,1537,16126,76224,0.0004207780584692955,84.55606502709462
seba_privado_s0,necrosis,1545,16382,75712,4.3097345042042434e-05,17.98666110879533
seba_privado_s0,necrosis,1546,16382,75968,0.0006474625552073121,96.24843684868695
seba_privado_s0,necrosis,1547,16382,76224,0.00015792482008691877,55.46060858691121
seba_privado_s0,necrosis,2111,12925,56896,0.00017158671107608825,57.79491454772822
seba_privado_s0,necrosis,2142,13181,56896,0.00047096190974116325,88.5994164235098
seba_privado_s0,necrosis,2205,13693,57408,0.00024461100110784173,65.7148812005002
seba_privado_s0,necrosis,2232,13949,56896,0.0001661709975451231,56.77365568987078
seba_privado_s0,necrosis,2233,13949,57152,0.0002624387270770967,68.00750312630262
seba_privado_s0,necrosis,2235,13949,57664,0.0003598845796659589,79.09545644018341
seba_privado_s0,necrosis,2236,13949,57920,0.0005830266745761037,93.95581492288454
seba_privado_s0,necrosis,2262,14205,57664,0.0003344563883729279,76.42767819924968
seba_privado_s0,necrosis,2263,14205,57920,0.0004306165501475334,85.36890370987912
seba_privado_s0,Stroma,2115,12925,57920,0.0002705244696699083,69.09128803668195
seba_privado_s0,Stroma,2116,12925,58176,0.000133366251247935,51.41725719049604
seba_privado_s0,Stroma,2117,12925,58432,0.0004950590082444251,90.03751563151313
seba_privado_s0,Stroma,2118,12925,58688,0.00038372501148842275,81.42976240100042
seba_privado_s0,Stroma,2146,13181,57920,0.000122630299301818,49.49979157982493
seba_privado_s0,Stroma,2147,13181,58176,0.00015891288057900965,55.62734472696957
seba_privado_s0,Stroma,2148,13181,58432,9.122752817347646e-05,42.01750729470613
seba_privado_s0,Stroma,2149,13181,58688,0.00016792298993095756,57.21133805752397
seba_privado_s0,Stroma,2177,13437,57920,0.00026644649915397167,68.61192163401417
seba_privado_s0,Stroma,2178,13437,58176,0.00021841620036866516,63.21383909962484
seba_privado_s0,Stroma,2179,13437,58432,0.00015376137162093073,54.7102959566486
seba_privado_s0,Stroma,2180,13437,58688,0.00010468655818840489,45.560650270946226
seba_privado_s0,Tejido Adiposo,1584,19066,63040,3.444555477472022e-05,12.380158399333055
