ckpt,rol,split_129741,n_clases,cabeza,es_cabeza_verdadera,es_cabeza_predicha,pred,grupo,n_parches,grupo_de_interes,auc_ranking,percentil_mediano,percentil_medio,p_permutacion,p_traslacion,n_traslaciones,auc_nula_media
seba_5fold_f3,control_interno,train,4,score_3,True,True,score_3,necrosis,18,False,0.8140323967556764,88.12005002084202,81.29197350747998,,,,
seba_5fold_f3,control_interno,train,4,score_3,True,True,score_3,Stroma,12,False,0.6488928347608105,65.13130471029595,64.85514797832431,,,,
seba_5fold_f3,control_interno,train,4,score_3,True,True,score_3,Tejido Adiposo,27,False,0.25391170718077677,25.323051271363067,25.524524107266913,,,,
seba_5fold_f4,control_interno,train,4,no_identificado,False,False,score_3,Nucleos alto grado,13,True,0.8868012472274904,89.18299291371405,88.58338410235034,,,,
seba_5fold_f4,control_interno,train,4,no_identificado,False,False,score_3,Mitosis,28,True,0.9035616971584274,93.73697373905794,90.12907163699161,,,,
seba_5fold_f4,control_interno,train,4,no_identificado,False,False,score_3,Immune cells,23,False,0.4693303473891195,40.1417257190496,46.94709752251844,,,,
seba_5fold_f4,control_interno,train,4,no_identificado,False,False,score_3,Tumor,48,False,0.8253569423980917,81.94039182992914,82.21698277059886,,,,
seba_5fold_f4,control_interno,train,4,no_identificado,False,False,score_3,necrosis,18,False,0.8001347928141486,84.38932888703627,79.9071372331064,,,,
seba_5fold_f4,control_interno,train,4,no_identificado,False,False,score_3,Stroma,12,False,0.6349662279785531,59.17048770320967,63.46568014450465,,,,
seba_5fold_f4,control_interno,train,4,no_identificado,False,False,score_3,Tejido Adiposo,27,False,0.07152835987706063,6.711129637348895,7.385021536751425,,,,
seba_5fold_f4,control_interno,train,4,score_1,False,False,score_3,Nucleos alto grado,13,True,0.8527596515477835,85.70237598999583,85.18773848077724,,,,
seba_5fold_f4,control_interno,train,4,score_1,False,False,score_3,Mitosis,28,True,0.8850869838608258,90.35014589412255,88.2919966652772,,,,
seba_5fold_f4,control_interno,train,4,score_1,False,False,score_3,Immune cells,23,False,0.42697181559973785,34.20175072947061,42.730666763325296,,,,
seba_5fold_f4,control_interno,train,4,score_1,False,False,score_3,Tumor,48,False,0.7900222760120676,80.75239683201335,78.71812908156176,,,,
seba_5fold_f4,control_interno,train,4,score_1,False,False,score_3,necrosis,18,False,0.7926630876850497,86.7965819091288,79.16261405215135,,,,
seba_5fold_f4,control_interno,train,4,score_1,False,False,score_3,Stroma,12,False,0.6457419399763248,65.85035431429762,64.5407808809226,,,,
seba_5fold_f4,control_interno,train,4,score_1,False,False,score_3,Tejido Adiposo,27,False,0.09004687839557915,9.649854105877449,9.226838343136802,,,,
seba_5fold_f4,control_interno,train,4,score_2,False,False,score_3,Nucleos alto grado,13,True,0.768153910443923,78.03251354731138,76.74832462243886,,,,
seba_5fold_f4,control_interno,train,4,score_2,False,False,score_3,Mitosis,28,True,0.8170793783872803,85.32721967486452,81.52950634192818,,,,
