rank,expert,slot,mean_combine_weight,mean_routing_logit
70,27,7,4.229736e-03,-3.577581e-01
71,17,2,4.218468e-03,1.634929e-01
72,12,9,4.209098e-03,-8.669568e-01
73,21,7,4.195354e-03,5.955776e-01
74,27,6,4.157245e-03,-8.256824e-02
75,0,2,4.151019e-03,-2.027313e-01
76,25,2,4.109733e-03,1.111155e+00
77,4,2,4.063245e-03,5.312704e-01
78,15,0,3.984139e-03,-6.921750e-02
79,25,3,3.951419e-03,5.746465e-01
80,15,1,3.831324e-03,-2.579332e-01
81,21,8,3.823775e-03,-3.264910e-01
82,19,3,3.816573e-03,-1.920918e-01
83,25,6,3.811510e-03,-6.796933e-01
84,9,3,3.753420e-03,5.568271e-01
85,6,0,3.747666e-03,9.080439e-01
86,24,5,3.740175e-03,-1.031036e-01
87,21,4,3.739764e-03,8.130702e-01
88,7,3,3.731056e-03,-9.603492e-03
89,7,2,3.685887e-03,5.266502e-01
90,29,0,3.655675e-03,-1.235259e+00
91,18,9,3.564954e-03,-1.116029e-02
92,24,9,3.480564e-03,-9.916242e-01
93,13,7,3.458443e-03,-6.003953e-01
94,2,9,3.445048e-03,5.131289e-01
95,3,5,3.307294e-03,-2.769736e-02
96,16,9,3.306750e-03,6.282995e-01
97,23,2,3.300350e-03,7.438799e-01
98,24,7,3.296735e-03,-5.484444e-01
99,16,5,3.295762e-03,7.524009e-01
100,19,6,3.234993e-03,-9.890139e-01
101,9,4,3.107872e-03,-4.204556e-01
102,24,2,3.100051e-03,8.391753e-01
103,4,4,3.078288e-03,-1.321638e-01
104,8,6,3.069768e-03,-3.672557e-01
105,29,8,3.053976e-03,-6.678615e-01
106,0,4,3.050171e-03,-6.823781e-01
107,26,5,3.037360e-03,-5.809605e-01
108,16,6,3.023876e-03,-7.092497e-01
109,10,7,2.883100e-03,2.970950e-01
110,10,1,2.882636e-03,6.746653e-01
111,13,4,2.860560e-03,-3.893602e-01
112,14,9,2.833351e-03,-9.791313e-02
113,15,2,2.808547e-03,3.115210e-01
114,16,1,2.806830e-03,-1.669654e-01
115,29,5,2.765317e-03,-1.394589e-01
116,18,0,2.761749e-03,-2.793359e-01
117,23,8,2.742428e-03,4.454793e-01
118,3,3,2.727483e-03,6.335567e-01
119,9,5,2.693618e-03,-2.603680e-02
120,3,6,2.679623e-03,7.011268e-01
121,12,0,2.583921e-03,5.542471e-01
122,28,4,2.531752e-03,-1.098728e-01
123,19,0,2.517154e-03,-8.679324e-02
124,11,9,2.509964e-03,-2.964864e-01
125,19,4,2.500618e-03,-5.728889e-01
126,25,7,2.436631e-03,-2.559226e-01
127,16,2,2.432439e-03,1.135257e+00
128,5,6,2.413379e-03,-1.104087e+00
129,15,6,2.405344e-03,-9.196179e-02
130,8,5,2.379566e-03,9.748638e-01
131,11,7,2.363602e-03,-5.042595e-01
132,26,0,2.361407e-03,4.526020e-02
133,21,5,2.353442e-03,2.809591e-01
134,8,4,2.342873e-03,-1.017081e-01
135,26,8,2.315861e-03,5.278754e-01
136,13,2,2.301696e-03,5.872166e-01
137,8,2,2.292808e-03,6.267418e-01
