ckpt,rol,split_129741,universo,n_universo,n_clases,cabeza,es_cabeza_verdadera,es_cabeza_predicha,pred,grupo,n_parches,grupo_de_interes,auc_ranking,percentil_mediano,percentil_medio,p_permutacion,p_traslacion,n_traslaciones,auc_nula_media
seba_combined_s0,primario,val,region_anotada,2496,4,score_1,False,False,score_3,Tumor,48,False,0.7582720588235294,78.39679358717436,75.34068136272545,,,,
seba_combined_s0,primario,val,region_anotada,2496,4,score_1,False,False,score_3,necrosis,18,False,0.9044704510806205,97.35470941883767,90.1714540191494,,,,
seba_combined_s0,primario,val,region_anotada,2496,4,score_1,False,False,score_3,Stroma,12,False,0.3757716049382716,31.88376753507014,37.631930527722105,,,,
seba_combined_s0,primario,val,region_anotada,2496,4,score_1,False,False,score_3,Tejido Adiposo,27,False,0.1491232017760977,15.951903807615231,15.277963334075558,,,,
seba_combined_s0,primario,val,lamina,4799,4,score_2,False,False,score_3,Nucleos alto grado,13,True,0.6915522839049792,72.94706127553147,69.1073203578414,,,,
seba_combined_s0,primario,val,lamina,4799,4,score_2,False,False,score_3,Mitosis,28,True,0.7664161451627391,79.0954564401834,76.49169296730781,,,,
seba_combined_s0,primario,val,lamina,4799,4,score_2,False,False,score_3,Immune cells,23,False,0.35191355327361445,33.70154230929554,35.259256574297254,,,,
seba_combined_s0,primario,val,lamina,4799,4,score_2,False,False,score_3,Tumor,48,False,0.6844217006945906,68.77865777407253,68.26151521467278,,,,
seba_combined_s0,primario,val,lamina,4799,4,score_2,False,False,score_3,necrosis,18,False,0.8845662227799856,95.84201750729471,88.32036496688437,,,,
seba_combined_s0,primario,val,lamina,4799,4,score_2,False,False,score_3,Stroma,12,False,0.3616217533597939,30.85660691954981,36.19390023620953,,,,
seba_combined_s0,primario,val,lamina,4799,4,score_2,False,False,score_3,Tejido Adiposo,27,False,0.09469591133463724,9.253855773238849,9.689222361169005,,,,
seba_combined_s0,primario,val,region_anotada,2496,4,score_2,False,False,score_3,Nucleos alto grado,13,True,0.7039871123640757,74.10821643286573,70.30060120240479,,,,
seba_combined_s0,primario,val,region_anotada,2496,4,score_2,False,False,score_3,Mitosis,28,True,0.7807941653160454,80.6813627254509,77.7755511022044,,,,
seba_combined_s0,primario,val,region_anotada,2496,4,score_2,False,False,score_3,Immune cells,23,False,0.3571441129415074,34.02805611222445,35.84037640498388,,,,
seba_combined_s0,primario,val,region_anotada,2496,4,score_2,False,False,score_3,Tumor,48,False,0.6977634803921569,70.04008016032064,69.40380761523046,,,,
seba_combined_s0,primario,val,region_anotada,2496,4,score_2,False,False,score_3,necrosis,18,False,0.8942247332077841,96.47294589178357,89.1538632821198,,,,
seba_combined_s0,primario,val,region_anotada,2496,4,score_2,False,False,score_3,Stroma,12,False,0.36701556629092863,31.382765531062127,36.760187040748164,,,,
seba_combined_s0,primario,val,region_anotada,2496,4,score_2,False,False,score_3,Tejido Adiposo,27,False,0.09287010785593208,9.258517034068136,9.711274400653158,,,,
seba_combined_s0,primario,val,lamina,4799,4,score_3,True,True,score_3,Nucleos alto grado,13,True,0.7660644829470571,82.72196748645268,76.53990444736588,0.0009995002498750624,0.09495252373813093,2000.0,0.4888602355139669
seba_combined_s0,primario,val,lamina,4799,4,score_3,True,True,score_3,Mitosis,28,True,0.8779830523699733,90.86077532305127,87.58560114333353,0.0004997501249375312,0.002178649237472767,458.0,0.6565789577829672
seba_combined_s0,primario,val,lamina,4799,4,score_3,True,True,score_3,Immune cells,23,False,0.30694232029713786,27.136306794497706,30.78275368360005,,,,
seba_combined_s0,primario,val,lamina,4799,4,score_3,True,True,score_3,Tumor,48,False,0.7821423559952291,79.87703209670696,77.93785605113241,0.0004997501249375312,0.04707792207792208,615.0,0.6379052218205346
seba_combined_s0,primario,val,lamina,4799,4,score_3,True,True,score_3,necrosis,18,False,0.8998814752841107,97.03001250521051,89.84646380436294,,,,
seba_combined_s0,primario,val,lamina,4799,4,score_3,True,True,score_3,Stroma,12,False,0.40371492235916717,35.22300958732805,40.393566763929414,,,,
seba_combined_s0,primario,val,lamina,4799,4,score_3,True,True,score_3,Tejido Adiposo,27,False,0.1292493247648319,12.588578574406002,13.125839470149602,,,,
