slide,brazo,presupuesto_mm2,k_parches,area_real_mm2,marcas_dentro,acreditadas_dentro,detecciones_dentro,det_por_mm2,marcas_dentro_p975,acreditadas_dentro_p975,detecciones_dentro_p975
164001,clam_combinado,lamina_entera,3796.0,53.791299993600006,3.0,0.0,15.0,0.27885550268881165,,,
164001,azar,lamina_entera,3796.0,53.791299993600006,3.0,0.0,15.0,0.27885550268881165,3.0,0.0,15.0
164001,clam_mitosis,30.0,2118.0,30.0131647488,3.0,0.0,10.0,0.3331871225076264,,,
164001,clam_gate,30.0,2118.0,30.0131647488,3.0,0.0,10.0,0.3331871225076264,,,
164001,clam_combinado,30.0,2118.0,30.0131647488,3.0,0.0,10.0,0.3331871225076264,,,
164001,azar,30.0,2118.0,30.0131647488,1.6,0.0,8.345,0.2780446537326142,3.0,0.0,12.0
164001,clam_mitosis,10.0,706.0,10.004388249600002,0.0,0.0,7.0,0.6996929572660153,,,
164001,clam_gate,10.0,706.0,10.004388249600002,3.0,0.0,2.0,0.19991227350457583,,,
164001,clam_combinado,10.0,706.0,10.004388249600002,2.0,0.0,3.0,0.2998684102568637,,,
164001,azar,10.0,706.0,10.004388249600002,0.525,0.0,2.87,0.2868741124790663,2.0,0.0,6.0
164001,clam_mitosis,3.0,212.0,3.0041505792,0.0,0.0,5.0,1.664363975167813,,,
164001,clam_gate,3.0,212.0,3.0041505792,1.0,0.0,0.0,0.0,,,
164001,clam_combinado,3.0,212.0,3.0041505792,0.0,0.0,2.0,0.6657455900671252,,,
164001,azar,3.0,212.0,3.0041505792,0.185,0.0,0.835,0.27794878385302474,1.0,0.0,3.0
164001,clam_mitosis,1.0,71.0,1.0061070336,0.0,0.0,2.0,1.9878600717497261,,,
164001,clam_gate,1.0,71.0,1.0061070336,0.0,0.0,0.0,0.0,,,
164001,clam_combinado,1.0,71.0,1.0061070336,0.0,0.0,1.0,0.9939300358748631,,,
164001,azar,1.0,71.0,1.0061070336,0.03,0.0,0.34,0.33793621219745346,1.0,0.0,2.0
106552,sin_filtro,lamina_entera,,,2.0,0.0,10.0,,,,
106552,teselado,lamina_entera,4659.0,66.02046013440001,2.0,0.0,9.0,0.13632137645933406,,,
106552,clam_mitosis,lamina_entera,4659.0,66.02046013440001,2.0,0.0,9.0,0.13632137645933406,,,
106552,clam_gate,lamina_entera,4659.0,66.02046013440001,2.0,0.0,9.0,0.13632137645933406,,,
106552,clam_combinado,lamina_entera,4659.0,66.02046013440001,2.0,0.0,9.0,0.13632137645933406,,,
106552,azar,lamina_entera,4659.0,66.02046013440001,2.0,0.0,9.0,0.13632137645933406,2.0,0.0,9.0
106552,clam_mitosis,30.0,2118.0,30.0131647488,2.0,0.0,5.0,0.1665935612538132,,,
106552,clam_gate,30.0,2118.0,30.0131647488,2.0,0.0,7.0,0.2332309857553385,,,
106552,clam_combinado,30.0,2118.0,30.0131647488,2.0,0.0,6.0,0.19991227350457583,,,
106552,azar,30.0,2118.0,30.0131647488,0.875,0.0,3.975,0.1324418811967815,2.0,0.0,7.0
106552,clam_mitosis,10.0,706.0,10.004388249600002,2.0,0.0,4.0,0.39982454700915165,,,
106552,clam_gate,10.0,706.0,10.004388249600002,1.0,0.0,0.0,0.0,,,
106552,clam_combinado,10.0,706.0,10.004388249600002,2.0,0.0,0.0,0.0,,,
106552,azar,10.0,706.0,10.004388249600002,0.295,0.0,1.42,0.14193771418824883,1.0,0.0,4.0
106552,clam_mitosis,3.0,212.0,3.0041505792,2.0,0.0,0.0,0.0,,,
106552,clam_gate,3.0,212.0,3.0041505792,1.0,0.0,0.0,0.0,,,
106552,clam_combinado,3.0,212.0,3.0041505792,1.0,0.0,0.0,0.0,,,
106552,azar,3.0,212.0,3.0041505792,0.12,0.0,0.395,0.13148475403825724,1.0,0.0,2.0
106552,clam_mitosis,1.0,71.0,1.0061070336,0.0,0.0,0.0,0.0,,,
106552,clam_gate,1.0,71.0,1.0061070336,0.0,0.0,0.0,0.0,,,
106552,clam_combinado,1.0,71.0,1.0061070336,1.0,0.0,0.0,0.0,,,
106552,azar,1.0,71.0,1.0061070336,0.025,0.0,0.115,0.11430195412560926,0.025000000000005684,0.0,1.0
103762,sin_filtro,lamina_entera,,,1.0,0.0,252.0,,,,
103762,teselado,lamina_entera,5203.0,73.7292238848,1.0,0.0,245.0,3.3229700123089065,,,
103762,clam_mitosis,lamina_entera,5203.0,73.7292238848,1.0,0.0,245.0,3.3229700123089065,,,
103762,clam_gate,lamina_entera,5203.0,73.7292238848,1.0,0.0,245.0,3.3229700123089065,,,
103762,clam_combinado,lamina_entera,5203.0,73.7292238848,1.0,0.0,245.0,3.3229700123089065,,,
103762,azar,lamina_entera,5203.0,73.7292238848,1.0,0.0,245.0,3.3229700123089065,1.0,0.0,245.0
103762,clam_mitosis,30.0,2118.0,30.0131647488,1.0,0.0,132.0,4.398070017100668,,,
103762,clam_gate,30.0,2118.0,30.0131647488,1.0,0.0,103.0,3.4318273618285517,,,
103762,clam_combinado,30.0,2118.0,30.0131647488,1.0,0.0,128.0,4.264795168097618,,,
103762,azar,30.0,2118.0,30.0131647488,0.43,0.0,99.155,3.3037169132243696,1.0,0.0,118.0
103762,clam_mitosis,10.0,706.0,10.004388249600002,0.0,0.0,28.0,2.7987718290640613,,,
103762,clam_gate,10.0,706.0,10.004388249600002,1.0,0.0,9.0,0.8996052307705912,,,
103762,clam_combinado,10.0,706.0,10.004388249600002,1.0,0.0,18.0,1.7992104615411824,,,
103762,azar,10.0,706.0,10.004388249600002,0.16,0.0,33.955,3.394010623423936,1.0,0.0,45.025000000000006
103762,clam_mitosis,3.0,212.0,3.0041505792,0.0,0.0,11.0,3.6616007453691886,,,
103762,clam_gate,3.0,212.0,3.0041505792,0.0,0.0,0.0,0.0,,,
103762,clam_combinado,3.0,212.0,3.0041505792,0.0,0.0,2.0,0.6657455900671252,,,
103762,azar,3.0,212.0,3.0041505792,0.03,0.0,10.23,3.4052886931933455,1.0,0.0,17.0
103762,clam_mitosis,1.0,71.0,1.0061070336,0.0,0.0,5.0,4.969650179374315,,,
103762,clam_gate,1.0,71.0,1.0061070336,0.0,0.0,0.0,0.0,,,
103762,clam_combinado,1.0,71.0,1.0061070336,0.0,0.0,0.0,0.0,,,
103762,azar,1.0,71.0,1.0061070336,0.025,0.0,3.46,3.438997924127026,0.025000000000005684,0.0,8.0
109609,sin_filtro,lamina_entera,,,1.0,0.0,13.0,,,,
109609,teselado,lamina_entera,2957.0,41.9022323712,1.0,0.0,12.0,0.28638092342420807,,,
109609,clam_mitosis,lamina_entera,2957.0,41.9022323712,1.0,0.0,12.0,0.28638092342420807,,,
109609,clam_gate,lamina_entera,2957.0,41.9022323712,1.0,0.0,12.0,0.28638092342420807,,,
109609,clam_combinado,lamina_entera,2957.0,41.9022323712,1.0,0.0,12.0,0.28638092342420807,,,
109609,azar,lamina_entera,2957.0,41.9022323712,1.0,0.0,12.0,0.28638092342420807,1.0,0.0,12.0
109609,clam_mitosis,30.0,2118.0,30.0131647488,1.0,0.0,8.0,0.2665496980061011,,,
109609,clam_gate,30.0,2118.0,30.0131647488,1.0,0.0,10.0,0.3331871225076264,,,
109609,clam_combinado,30.0,2118.0,30.0131647488,1.0,0.0,9.0,0.2998684102568638,,,
109609,azar,30.0,2118.0,30.0131647488,0.72,0.0,8.475,0.2823760863252134,1.0,0.0,11.0
109609,clam_mitosis,10.0,706.0,10.004388249600002,0.0,0.0,2.0,0.19991227350457583,,,
109609,clam_gate,10.0,706.0,10.004388249600002,0.0,0.0,2.0,0.19991227350457583,,,
109609,clam_combinado,10.0,706.0,10.004388249600002,0.0,0.0,2.0,0.19991227350457583,,,
109609,azar,10.0,706.0,10.004388249600002,0.195,0.0,2.64,0.2638842010260401,1.0,0.0,5.025000000000006
109609,clam_mitosis,3.0,212.0,3.0041505792,0.0,0.0,1.0,0.3328727950335626,,,
109609,clam_gate,3.0,212.0,3.0041505792,0.0,0.0,0.0,0.0,,,
109609,clam_combinado,3.0,212.0,3.0041505792,0.0,0.0,0.0,0.0,,,
109609,azar,3.0,212.0,3.0041505792,0.05,0.0,0.86,0.2862706037288638,1.0,0.0,3.0
109609,clam_mitosis,1.0,71.0,1.0061070336,0.0,0.0,1.0,0.9939300358748631,,,
109609,clam_gate,1.0,71.0,1.0061070336,0.0,0.0,0.0,0.0,,,
109609,clam_combinado,1.0,71.0,1.0061070336,0.0,0.0,0.0,0.0,,,
109609,azar,1.0,71.0,1.0061070336,0.015,0.0,0.32,0.31805761147995615,0.0,0.0,2.0
110616,sin_filtro,lamina_entera,,,1.0,0.0,5.0,,,,
110616,teselado,lamina_entera,2933.0,41.5621398528,1.0,0.0,5.0,0.12030179431830083,,,
110616,clam_mitosis,lamina_entera,2933.0,41.5621398528,1.0,0.0,5.0,0.12030179431830083,,,
110616,clam_gate,lamina_entera,2933.0,41.5621398528,1.0,0.0,5.0,0.12030179431830083,,,
110616,clam_combinado,lamina_entera,2933.0,41.5621398528,1.0,0.0,5.0,0.12030179431830083,,,
110616,azar,lamina_entera,2933.0,41.5621398528,1.0,0.0,5.0,0.12030179431830083,1.0,0.0,5.0
110616,clam_mitosis,30.0,2118.0,30.0131647488,1.0,0.0,3.0,0.09995613675228791,,,
110616,clam_gate,30.0,2118.0,30.0131647488,1.0,0.0,3.0,0.09995613675228791,,,
110616,clam_combinado,30.0,2118.0,30.0131647488,1.0,0.0,3.0,0.09995613675228791,,,
110616,azar,30.0,2118.0,30.0131647488,0.715,0.0,3.725,0.12411220313409084,1.0,0.0,5.0
110616,clam_mitosis,10.0,706.0,10.004388249600002,1.0,0.0,1.0,0.09995613675228791,,,
110616,clam_gate,10.0,706.0,10.004388249600002,1.0,0.0,2.0,0.19991227350457583,,,
110616,clam_combinado,10.0,706.0,10.004388249600002,1.0,0.0,1.0,0.09995613675228791,,,
110616,azar,10.0,706.0,10.004388249600002,0.215,0.0,1.195,0.11944758341898405,1.0,0.0,3.0
110616,clam_mitosis,3.0,212.0,3.0041505792,0.0,0.0,1.0,0.3328727950335626,,,
110616,clam_gate,3.0,212.0,3.0041505792,1.0,0.0,0.0,0.0,,,
110616,clam_combinado,3.0,212.0,3.0041505792,1.0,0.0,1.0,0.3328727950335626,,,
110616,azar,3.0,212.0,3.0041505792,0.1,0.0,0.365,0.12149857018725035,1.0,0.0,2.0
110616,clam_mitosis,1.0,71.0,1.0061070336,0.0,0.0,1.0,0.9939300358748631,,,
110616,clam_gate,1.0,71.0,1.0061070336,1.0,0.0,0.0,0.0,,,
110616,clam_combinado,1.0,71.0,1.0061070336,0.0,0.0,0.0,0.0,,,
110616,azar,1.0,71.0,1.0061070336,0.02,0.0,0.115,0.11430195412560926,0.0,0.0,1.0
