rank,expert,slot,mean_combine_weight,mean_routing_logit
179,20,1,1.474348e-03,-2.765663e-01
180,3,3,1.468851e-03,6.190478e-01
181,0,8,1.460843e-03,4.547663e-01
182,9,2,1.436721e-03,-2.555229e-01
183,0,9,1.431898e-03,7.872462e-02
184,29,6,1.430866e-03,-3.347042e-01
185,9,9,1.422775e-03,-2.902916e-01
186,28,0,1.405883e-03,-1.954026e-01
187,19,1,1.399164e-03,-1.119401e-01
188,8,8,1.396212e-03,9.928785e-02
189,10,3,1.392761e-03,-2.558599e-01
190,15,1,1.349325e-03,-1.227177e+00
191,2,4,1.347281e-03,4.908440e-01
192,1,4,1.346148e-03,-4.948012e-01
193,17,6,1.341585e-03,1.031798e-02
194,18,4,1.340407e-03,-1.512320e+00
195,3,8,1.317098e-03,-4.033605e-01
196,28,8,1.315329e-03,-7.068499e-01
197,5,3,1.287346e-03,-9.092518e-01
198,5,0,1.283968e-03,-2.500584e-01
199,17,9,1.263762e-03,-1.190544e+00
200,26,3,1.260663e-03,-1.732654e+00
201,21,2,1.253146e-03,-3.536251e-01
202,25,4,1.248673e-03,-8.185645e-01
203,12,8,1.243063e-03,5.847464e-01
204,22,0,1.230003e-03,-7.969341e-02
205,27,3,1.212650e-03,-8.977939e-02
206,1,2,1.199099e-03,-1.733156e-03
207,10,7,1.192074e-03,-3.819934e-01
208,4,1,1.190241e-03,-6.436105e-01
209,24,7,1.176666e-03,6.390645e-02
210,24,5,1.175150e-03,4.486167e-01
211,27,6,1.168022e-03,-1.648883e+00
212,25,3,1.166381e-03,1.596016e-01
213,29,0,1.162445e-03,-1.439994e+00
214,19,7,1.160918e-03,-6.805671e-01
215,13,8,1.125919e-03,-8.786566e-01
216,23,3,1.116226e-03,-1.907725e-01
217,6,1,1.085809e-03,-2.799472e-02
218,23,9,1.082929e-03,-1.343218e+00
219,14,4,1.061232e-03,-2.086739e-02
220,21,9,1.058805e-03,-5.078111e-01
221,0,0,1.056158e-03,-1.514002e-01
222,6,7,1.042423e-03,-2.216643e-01
223,17,2,9.975889e-04,-7.029291e-01
224,12,1,9.816614e-04,-3.480834e-01
225,9,3,9.805178e-04,-9.798749e-01
226,3,6,9.775346e-04,-1.152749e+00
227,21,1,9.767574e-04,-2.139502e-01
228,16,1,9.660487e-04,-4.945301e-01
229,23,0,9.647675e-04,-9.232979e-01
230,16,0,9.628982e-04,1.395509e-01
231,24,8,9.536262e-04,-7.111221e-01
232,20,0,9.336932e-04,4.384332e-01
233,25,1,9.169140e-04,-1.398303e+00
234,23,7,9.160617e-04,-1.520294e+00
235,20,5,8.989954e-04,-5.874231e-01
236,14,5,8.922095e-04,-5.837274e-01
237,14,7,8.863758e-04,6.374030e-01
238,9,1,8.780771e-04,2.434918e-02
239,15,6,8.724210e-04,-7.484037e-02
240,11,5,8.657963e-04,-1.226523e+00
241,9,5,8.585723e-04,-3.077894e-01
242,8,4,8.496940e-04,-1.683119e+00
243,16,4,8.209574e-04,-6.416781e-01
244,27,8,8.140689e-04,-8.816059e-01
245,20,3,8.108484e-04,-1.086354e-01
246,21,4,7.814103e-04,-4.104858e-01
247,8,2,7.780007e-04,-3.069081e-01
248,24,2,7.706471e-04,2.416885e-01
249,22,5,7.613701e-04,-5.474407e-01
250,15,4,7.612862e-04,-1.013172e+00
251,17,5,7.607038e-04,-1.315977e+00
252,20,8,7.550753e-04,-7.437077e-01
253,18,3,7.547230e-04,-1.294915e+00
254,28,1,7.466992e-04,-7.569681e-01
255,20,4,7.413884e-04,-8.482277e-02
256,5,4,7.396883e-04,4.675956e-01
257,12,0,6.970614e-04,-8.897716e-02
258,22,8,6.939259e-04,-9.434859e-01
259,18,1,6.860541e-04,-1.630231e+00
260,24,1,6.701114e-04,-1.189436e-01
261,26,7,6.535831e-04,-8.135033e-01
262,17,7,6.307077e-04,-1.076432e+00
263,23,6,6.278002e-04,-6.091971e-01
264,11,1,6.216898e-04,-1.119504e+00
265,20,2,6.124523e-04,-1.477340e+00
266,1,0,6.122536e-04,-1.878903e+00
267,9,6,5.977608e-04,-5.501241e-01
268,14,3,5.796347e-04,-1.517063e+00
269,28,9,5.780543e-04,-1.569619e+00
270,20,6,5.637481e-04,-8.360364e-01
271,25,6,5.545133e-04,-2.287743e+00
272,16,9,5.239454e-04,-9.550196e-01
273,3,9,5.212757e-04,-1.775129e+00
274,18,6,5.153717e-04,-1.139836e+00
275,13,1,5.147392e-04,-4.771037e-01
276,28,3,4.950479e-04,-1.909666e+00
277,24,3,4.909027e-04,-9.288265e-01
278,11,6,4.865741e-04,-8.392892e-01
279,4,8,4.774542e-04,-1.711482e+00
280,17,8,4.690463e-04,-1.641244e+00
281,20,7,4.640287e-04,-1.222362e+00
282,14,0,4.577004e-04,-3.832844e-01
283,8,6,4.453750e-04,-1.270540e+00
284,24,9,4.436903e-04,-1.610906e+00
285,1,1,4.411030e-04,-2.802238e-01
286,26,0,4.306926e-04,-1.073257e+00
287,12,9,4.019267e-04,-1.947744e+00
288,17,1,4.000472e-04,-4.391339e-01
289,8,5,3.957252e-04,-3.390483e-01
290,0,1,3.944004e-04,-6.087092e-01
291,29,1,3.788299e-04,-1.586652e+00
292,24,6,3.672005e-04,-1.590037e+00
293,0,2,3.507589e-04,-2.113476e+00
294,29,3,3.303003e-04,-8.439302e-01
295,6,8,3.240080e-04,-1.145228e+00
296,6,4,2.767161e-04,-6.789058e-01
297,4,6,2.367827e-04,-1.733485e+00
298,19,8,2.246792e-04,-6.726782e-01
299,1,9,1.746319e-04,-1.841922e+00
